stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, location_type, parent_station, stop_timezone, wheelchair_boarding
9167, 4931, "Kvedervecumi", , 56.2304253, 26.3777441, 9167, , , , , 
9168, 4932, "Spričvecumi", , 56.2434245, 26.3544910, 9168, , , , , 
9169, 4936, "Stari", , 56.3022472, 26.3594265, 9169, , , , , 
9170, 4937, "Rušenieki", , 56.3299708, 26.3458473, 9170, , , , , 
9171, 4938, "Dravnieki", , 56.4373960, 26.7585900, 9171, , , , , 
9172, 4938, "Dravnieki", , 56.4371400, 26.7587140, 9172, , , , , 
9175, 4940, "Degļi", , 56.4600410, 26.7117200, 9175, , , , , 
9176, 4940, "Degļi", , 56.4597300, 26.7117900, 9176, , , , , 
9179, 4943, "Upenieki", , 56.4926390, 26.6911315, 9179, , , , , 
9180, 4943, "Upenieki", , 56.4928910, 26.6918858, 9180, , , , , 
9183, 4946, "Sīļukalns", , 56.5191453, 26.7556116, 9183, , , , , 
9185, 4946, "Sīļukalns", , 56.5188952, 26.7551429, 9185, , , , , 
9187, 4949, "Sīļu kapi", , 56.5378889, 26.7767375, 9187, , , , , 
9189, 4954, "Senču veikals", , 56.7067759, 24.3534875, 9189, , , , , 
9190, 4956, "Rasiņas", , 56.7274341, 24.3830512, 9190, , , , , 
9191, 4957, "Baldones skola", , 56.7420123, 24.3905799, 9191, , , , , 
9192, 4958, "Liepu aleja", , 56.7485755, 24.4060296, 9192, , , , , 
9193, 4958, "Liepu aleja", , 56.7486664, 24.4067564, 9193, , , , , 
9194, 4959, "Bajāri", , 56.7554274, 24.4175006, 9194, , , , , 
9195, 4959, "Bajāri", , 56.7556228, 24.4183699, 9195, , , , , 
9196, 4960, "Mercendarbe", , 56.7635738, 24.4209167, 9196, , , , , 
9197, 4960, "Mercendarbe", , 56.7639628, 24.4211167, 9197, , , , , 
9198, 4961, "Observatorija", , 56.7726296, 24.4221750, 9198, , , , , 
